公众号【拾光畅谈】,#genre#
关注公众号,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgypLV4gUo-ZmUhwc.mp4
获取密码,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAglZTV4gUo1tiHrgM.mp4
口令：666,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgmJbV4gUogpLGkgM.mp4
央視壹,#genre#

重温经典频,http://1.62.64.234/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8

CCTV-13新闻,http://live.chunfei.top/live02/cctv.m3u8?channel=cctvnews
CCTV-1综合,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV-1综合,https://tv.cry33.com/51.php?id=2022576803.m3u8
CCTV-2财经,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2财经,https://tv.cry33.com/51.php?id=2022576703.m3u8
CCTV-3综艺,https://tv.cry33.com/51.php?id=2022576503.m3u8
CCTV-4国际,https://tv.cry33.com/51.php?id=2022576603.m3u8
CCTV-5体育,https://tv.cry33.com/51.php?id=2022576403.m3u8
CCTV-6电影,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV-6电影,https://tv.cry33.com/51.php?id=2013693903.m3u8
CCTV-7国防军事,https://tv.cry33.com/51.php?id=2022576203.m3u8
CCTV-8电视剧,https://tv.cry33.com/51.php?id=2022576103.m3u8
CCTV-9记录,https://tv.cry33.com/51.php?id=2022576003.m3u8
CCTV-10科教,https://tv.cry33.com/51.php?id=2022573003.m3u8
CCTV-11戏曲,https://tv.cry33.com/51.php?id=2022575903.m3u8
CCTV-12社会与法,https://tv.cry33.com/51.php?id=2022575803.m3u8
CCTV-13新闻,https://tv.cry33.com/51.php?id=2022575703.m3u8
CCTV-14少儿,https://tv.cry33.com/51.php?id=2022575603.m3u8
CCTV-15音乐,https://tv.cry33.com/51.php?id=2022575503.m3u8
CCTV-16奥林匹克,https://tv.cry33.com/51.php?id=2022575403.m3u8
CCTV-16-4K,https://tv.cry33.com/51.php?id=2022575103.m3u8
CCTV-17农业农村,https://tv.cry33.com/51.php?id=2022575303.m3u8
CCTV-5+体育赛事,https://tv.cry33.com/51.php?id=2022576303.m3u8
CCTV-4K超高清,https://tv.cry33.com/51.php?id=2022575203.m3u8
CCTV-8K超高清,https://tv.cry33.com/51.php?id=2020603423.m3u8
CCTV-8K超高清,https://tv.cry33.com/51.php?id=2020603463.m3u8
CGTN,https://tv.cry33.com/51.php?id=2022575003.m3u8
CGTN法语,https://tv.cry33.com/51.php?id=2022574903.m3u8
CGTN俄语,https://tv.cry33.com/51.php?id=2022574803.m3u8
CGTN阿拉伯语,https://tv.cry33.com/51.php?id=2022574603.m3u8
CGTN西班牙语,https://tv.cry33.com/51.php?id=2022571703.m3u8
CGTN外语纪录,https://tv.cry33.com/51.php?id=2022574703.m3u8
CCTV风云剧场,https://tv.cry33.com/51.php?id=2012513603.m3u8
CCTV第一剧场,https://tv.cry33.com/51.php?id=2012514403.m3u8
CCTV怀旧剧场,https://tv.cry33.com/51.php?id=2012511203.m3u8
CCTV世界地理,https://tv.cry33.com/51.php?id=2012513303.m3u8
CCTV风云音乐,https://tv.cry33.com/51.php?id=2012514103.m3u8
CCTV兵器科技,https://tv.cry33.com/51.php?id=2012513403.m3u8
CCTV风云足球,https://tv.cry33.com/51.php?id=2012514203.m3u8
CCTV高尔夫网球,https://tv.cry33.com/51.php?id=2012512503.m3u8
